voltage_V,field_strength_V_per_m,energy_density_J_per_m3,candidate_residual_force_N,ehd_pressure_artifact_force_N,thermal_artifact_force_N,measured_force_N
2625.0,131250.0,0.07626360987196876,1.3727449776954374e-07,8.260597424205078e-06,8.268749999999998e-12,8.39905263538734e-06
2666.6666666666665,133333.3333333333,0.07870389166933331,1.4166700500479994e-07,8.524919891545476e-06,8.533333333333332e-12,8.668017883043195e-06
2708.333333333333,135416.66666666666,0.08118260310130207,1.4612868558234372e-07,8.793404917426668e-06,8.802083333333332e-12,8.941129099562744e-06
2750.0,137500.0,0.08369974416787501,1.5065953950217502e-07,9.066052501848657e-06,9.075e-12,9.216023666206335e-06
2791.6666666666665,139583.3333333333,0.08625531486905207,1.5525956676429367e-07,9.342862644811435e-06,9.352083333333333e-12,9.497206860073734e-06
2833.333333333333,141666.66666666666,0.08884931520483333,1.5992876736869995e-07,9.62383534631501e-06,9.633333333333332e-12,9.785489698779557e-06
2875.0,143750.0,0.09148174517521876,1.6466714131539376e-07,9.908970606359378e-06,9.918749999999999e-12,1.007326505777501e-05
2916.6666666666665,145833.3333333333,0.09415260478020832,1.6947468860437493e-07,1.0198268424944538e-05,1.0208333333333329e-11,1.036520194923557e-05
2958.333333333333,147916.66666666666,0.09686189401980208,1.7435140923564372e-07,1.0491728802070495e-05,1.050208333333333e-11,1.0663824138961466e-05
3000.0,150000.0,0.09960961289400001,1.7929730320920002e-07,1.0789351737737245e-05,1.0799999999999998e-11,1.0966820936374441e-05
3041.6666666666665,152083.3333333333,0.10239576140280206,1.843123705250437e-07,1.1091137231944784e-05,1.1102083333333332e-11,1.127645502604127e-05
3083.333333333333,154166.66666666666,0.10522033954620832,1.8939661118317498e-07,1.139708528469312e-05,1.1408333333333329e-11,1.158677815568177e-05
3125.0,156250.0,0.10808334732421876,1.9455002518359375e-07,1.1707195895982251e-05,1.171875e-11,1.1903138610623982e-05
3166.6666666666665,158333.3333333333,0.11098478473683332,1.9977261252629994e-07,1.2021469065812173e-05,1.2033333333333331e-11,1.2220399206379133e-05
3208.333333333333,160416.66666666666,0.11392465178405209,2.0506437321129376e-07,1.2339904794182892e-05,1.235208333333333e-11,1.2545298598859673e-05
3250.0,162500.0,0.11690294846587501,2.1042530723857502e-07,1.2662503081094405e-05,1.2675e-11,1.2874192244120914e-05
3291.6666666666665,164583.3333333333,0.11991967478230206,2.1585541460814368e-07,1.2989263926546708e-05,1.3002083333333333e-11,1.3204513650158746e-05
3333.333333333333,166666.66666666666,0.12297483073333333,2.2135469531999999e-07,1.3320187330539804e-05,1.3333333333333331e-11,1.3542468909668252e-05
3375.0,168750.0,0.12606841631896876,2.2692314937414373e-07,1.3655273293073699e-05,1.3668750000000002e-11,1.388088625931571e-05
3416.6666666666665,170833.3333333333,0.12920043153920832,2.3256077677057493e-07,1.3994521814148383e-05,1.4008333333333333e-11,1.4226370491559162e-05
3458.333333333333,172916.66666666666,0.13237087639405207,2.3826757750929367e-07,1.4337932893763861e-05,1.435208333333333e-11,1.4575451347568492e-05
