time_s,drive_on,instant_candidate_residual_N,delayed_thermal_artifact_N,total_force_N
117.0,1.0,3.187507612608e-07,1.5536503193597926e-08,3.3267527723673433e-07
118.0,1.0,3.187507612608e-07,1.5717296903677954e-08,3.3168071319574556e-07
119.0,1.0,3.187507612608e-07,1.5895830692381977e-08,3.3653177919498154e-07
120.0,1.0,3.187507612608e-07,1.60721328087272e-08,3.3580748789340327e-07
121.0,1.0,3.187507612608e-07,1.6246231148618114e-08,3.337559551681208e-07
122.0,1.0,3.187507612608e-07,1.6418153259260388e-08,3.3200458048780654e-07
123.0,1.0,3.187507612608e-07,1.658792634351963e-08,3.338494408914425e-07
124.0,1.0,3.187507612608e-07,1.6755577264225637e-08,3.3539692965132707e-07
125.0,1.0,3.187507612608e-07,1.6921132548422813e-08,3.3800323798899045e-07
126.0,1.0,3.187507612608e-07,1.7084618391567527e-08,3.337622157026282e-07
127.0,1.0,3.187507612608e-07,1.7246060661672936e-08,3.3582778215945e-07
128.0,1.0,3.187507612608e-07,1.7405484903402025e-08,3.375065354839918e-07
129.0,1.0,3.187507612608e-07,1.75629163421095e-08,3.3155114292266567e-07
130.0,1.0,3.187507612608e-07,1.7718379887833133e-08,3.385367134845109e-07
131.0,1.0,3.187507612608e-07,1.7871900139235217e-08,3.342577602556223e-07
132.0,1.0,3.187507612608e-07,1.802350138749478e-08,3.3743825363520864e-07
133.0,1.0,3.187507612608e-07,1.8173207620151092e-08,3.3741733518017257e-07
134.0,1.0,3.187507612608e-07,1.8321042524899203e-08,3.392409765686269e-07
135.0,1.0,3.187507612608e-07,1.8467029493337964e-08,3.3831963951592506e-07
136.0,1.0,3.187507612608e-07,1.8611191624671243e-08,3.3260737190201127e-07
137.0,1.0,3.187507612608e-07,1.8753551729362852e-08,3.3593475449585087e-07
138.0,1.0,3.187507612608e-07,1.889413233274582e-08,3.379213038522524e-07
139.0,1.0,3.187507612608e-07,1.9032955678586494e-08,3.3739375716714687e-07
140.0,1.0,3.187507612608e-07,1.9170043732604162e-08,3.388760264529177e-07
141.0,1.0,3.187507612608e-07,1.9305418185946612e-08,3.3963491255808604e-07
142.0,1.0,3.187507612608e-07,1.943910045862228e-08,3.394067651922816e-07
143.0,1.0,3.187507612608e-07,1.9571111702889502e-08,3.3789332307858057e-07
144.0,1.0,3.187507612608e-07,1.9701472806603384e-08,3.347595600451624e-07
145.0,1.0,3.187507612608e-07,1.983020439652084e-08,3.3767000315961117e-07
146.0,1.0,3.187507612608e-07,1.9957326841564333e-08,3.395408243986422e-07
147.0,1.0,3.187507612608e-07,2.0082860256044776e-08,3.3665272701174383e-07
148.0,1.0,3.187507612608e-07,2.0206824502844216e-08,3.4022013522388735e-07
149.0,1.0,3.187507612608e-07,2.0329239196558664e-08,3.4089678705189324e-07
150.0,1.0,3.187507612608e-07,2.045012370660168e-08,3.3945461891999336e-07
151.0,1.0,3.187507612608e-07,2.056949716026916e-08,3.3319269868844437e-07
152.0,1.0,3.187507612608e-07,2.0687378445765792e-08,3.3688196298114214e-07
153.0,1.0,3.187507612608e-07,2.080378621519372e-08,3.433269257931059e-07
154.0,1.0,3.187507612608e-07,2.0918738887503797e-08,3.3857642456224703e-07
155.0,1.0,3.187507612608e-07,2.1032254651409997e-08,3.3581472946595197e-07
156.0,1.0,3.187507612608e-07,2.1144351468267375e-08,3.4236560750568795e-07
157.0,1.0,3.187507612608e-07,2.125504707491403e-08,3.4003251951880137e-07
158.0,1.0,3.187507612608e-07,2.136435898647761e-08,3.42325001225193e-07
159.0,1.0,3.187507612608e-07,2.147230449914664e-08,3.4077698311038536e-07
160.0,1.0,3.187507612608e-07,2.1578900692907307e-08,3.412467802261316e-07
161.0,1.0,3.187507612608e-07,2.1684164434245963e-08,3.41160944190475e-07
162.0,1.0,3.187507612608e-07,2.178811237881789e-08,3.4193385026345984e-07
163.0,1.0,3.187507612608e-07,2.1890760974082662e-08,3.4519638313199484e-07
164.0,1.0,3.187507612608e-07,2.199212646190663e-08,3.42684900394625e-07
165.0,1.0,3.187507612608e-07,2.20922248811328e-08,3.376823075062417e-07
166.0,1.0,3.187507612608e-07,2.2191072070118638e-08,3.4183515636147645e-07
167.0,1.0,3.187507612608e-07,2.2288683669242158e-08,3.4332240646624857e-07
168.0,1.0,3.187507612608e-07,2.238507512337663e-08,3.4354123799724895e-07
169.0,1.0,3.187507612608e-07,2.2480261684334423e-08,3.403778129790162e-07
170.0,1.0,3.187507612608e-07,2.257425841328024e-08,3.436549085644565e-07
171.0,1.0,3.187507612608e-07,2.266708018311424e-08,3.4327332624301664e-07
172.0,1.0,3.187507612608e-07,2.275874168082531e-08,3.4665453781556476e-07
173.0,1.0,3.187507612608e-07,2.2849257409814992e-08,3.4010001519811797e-07
174.0,1.0,3.187507612608e-07,2.2938641692192306e-08,3.4067460180019145e-07
175.0,1.0,3.187507612608e-07,2.30269086710399e-08,3.4116543183492e-07
176.0,1.0,3.187507612608e-07,2.3114072312651902e-08,3.4088438927337433e-07
177.0,1.0,3.187507612608e-07,2.3200146408743755e-08,3.4017086617001653e-07
178.0,1.0,3.187507612608e-07,2.328514457863446e-08,3.36510554828087e-07
179.0,1.0,3.187507612608e-07,2.3369080271401527e-08,3.412504425847552e-07
180.0,1.0,3.187507612608e-07,2.3451966768009008e-08,3.429414441482088e-07
181.0,1.0,3.187507612608e-07,2.3533817183408896e-08,3.412981347531971e-07
182.0,1.0,3.187507612608e-07,2.3614644468616285e-08,3.462361680964745e-07
183.0,1.0,3.187507612608e-07,2.369446141275858e-08,3.424719742989903e-07
184.0,1.0,3.187507612608e-07,2.37732806450991e-08,3.4510610001626736e-07
185.0,1.0,3.187507612608e-07,2.385111463703536e-08,3.4312471672329533e-07
186.0,1.0,3.187507612608e-07,2.3927975704072417e-08,3.443315515846589e-07
187.0,1.0,3.187507612608e-07,2.4003876007771512e-08,3.433131203764386e-07
188.0,1.0,3.187507612608e-07,2.4078827557674367e-08,3.455671580822815e-07
189.0,1.0,3.187507612608e-07,2.4152842213203438e-08,3.430154821742682e-07
190.0,1.0,3.187507612608e-07,2.4225931685538392e-08,3.4396893436251594e-07
191.0,1.0,3.187507612608e-07,2.4298107539469164e-08,3.4378153466756925e-07
192.0,1.0,3.187507612608e-07,2.4369381195225795e-08,3.4254357153977114e-07
193.0,1.0,3.187507612608e-07,2.4439763930285473e-08,3.440004898289348e-07
194.0,1.0,3.187507612608e-07,2.4509266881156907e-08,3.477288006343523e-07
195.0,1.0,3.187507612608e-07,2.4577901045142444e-08,3.4278786842175153e-07
196.0,1.0,3.187507612608e-07,2.4645677282078162e-08,3.442353683285846e-07
197.0,1.0,3.187507612608e-07,2.4712606316052187e-08,3.4597892547859103e-07
198.0,1.0,3.187507612608e-07,2.4778698737101533e-08,3.458099665597901e-07
199.0,1.0,3.187507612608e-07,2.4843965002887763e-08,3.436181590991265e-07
200.0,1.0,3.187507612608e-07,2.4908415440351667e-08,3.3889239929523694e-07
201.0,1.0,3.187507612608e-07,2.4972060247347272e-08,3.447562271454442e-07
202.0,1.0,3.187507612608e-07,2.5034909494255434e-08,3.393467222378093e-07
203.0,1.0,3.187507612608e-07,2.509697312557724e-08,3.467876088482597e-07
204.0,1.0,3.187507612608e-07,2.5158260961507524e-08,3.4424796996469405e-07
205.0,1.0,3.187507612608e-07,2.521878269948868e-08,3.4596889200003264e-07
206.0,1.0,3.187507612608e-07,2.527854791574507e-08,3.422250869001829e-07
207.0,1.0,3.187507612608e-07,2.5337566066798258e-08,3.409833123809981e-07
208.0,1.0,3.187507612608e-07,2.539584649096328e-08,3.4466811652004564e-07
209.0,1.0,3.187507612608e-07,2.5453398409826238e-08,3.4413695279071396e-07
210.0,1.0,3.187507612608e-07,2.551023092970341e-08,3.432779105381891e-07
211.0,1.0,3.187507612608e-07,2.556635304308212e-08,3.444864368653476e-07
212.0,1.0,3.187507612608e-07,2.562177363004359e-08,3.499074066749081e-07
213.0,1.0,3.187507612608e-07,2.5676501459668044e-08,3.460963138152062e-07
214.0,1.0,3.187507612608e-07,2.573054519142219e-08,3.4658030366394885e-07
215.0,1.0,3.187507612608e-07,2.5783913376529415e-08,3.462225484204361e-07
216.0,1.0,3.187507612608e-07,2.58366144593228e-08,3.475463000078272e-07
217.0,1.0,3.187507612608e-07,2.5888656778581264e-08,3.4425927469357975e-07
218.0,1.0,3.187507612608e-07,2.5940048568849e-08,3.405812872142984e-07
219.0,1.0,3.187507612608e-07,2.5990797961738386e-08,3.443643869565263e-07
220.0,1.0,3.187507612608e-07,2.6040912987216655e-08,3.4641514566800964e-07
221.0,1.0,3.187507612608e-07,2.6090401574876447e-08,3.429015620454463e-07
222.0,1.0,3.187507612608e-07,2.6139271555190492e-08,3.4453730091501183e-07
223.0,1.0,3.187507612608e-07,2.618753066075061e-08,3.4355475243554594e-07
224.0,1.0,3.187507612608e-07,2.6235186527491226e-08,3.4799000629197745e-07
225.0,1.0,3.187507612608e-07,2.6282246695897585e-08,3.465319219875107e-07
226.0,1.0,3.187507612608e-07,2.6328718612198866e-08,3.4638256111428675e-07
227.0,1.0,3.187507612608e-07,2.6374609629546383e-08,3.463685735165883e-07
228.0,1.0,3.187507612608e-07,2.6419927009177054e-08,3.450961897648728e-07
229.0,1.0,3.187507612608e-07,2.646467792156234e-08,3.4561055174741734e-07
230.0,1.0,3.187507612608e-07,2.6508869447542812e-08,3.4288926154727814e-07
231.0,1.0,3.187507612608e-07,2.6552508579448527e-08,3.409303858827474e-07
232.0,1.0,3.187507612608e-07,2.659560222220542e-08,3.456465257436954e-07
233.0,1.0,3.187507612608e-07,2.6638157194427854e-08,3.460368989677721e-07
234.0,1.0,3.187507612608e-07,2.6680180229497505e-08,3.478494706271483e-07
235.0,1.0,3.187507612608e-07,2.6721677976628782e-08,3.486151108695935e-07
236.0,1.0,3.187507612608e-07,2.6762657001920924e-08,3.486534152327188e-07
237.0,1.0,3.187507612608e-07,2.6803123789396913e-08,3.4355783786360915e-07
238.0,1.0,3.187507612608e-07,2.6843084742029454e-08,3.448893159329299e-07
239.0,1.0,3.187507612608e-07,2.6882546182754086e-08,3.4659397603531683e-07
240.0,1.0,3.187507612608e-07,2.692151435546966e-08,3.50736084971754e-07
241.0,1.0,3.187507612608e-07,2.6959995426026288e-08,3.486709550942541e-07
242.0,1.0,3.187507612608e-07,2.699799548320096e-08,3.479875510679977e-07
243.0,1.0,3.187507612608e-07,2.703552053966095e-08,3.4501070588936237e-07
244.0,1.0,3.187507612608e-07,2.707257653291519e-08,3.4405693853140495e-07
245.0,1.0,3.187507612608e-07,2.7109169326253747e-08,3.474377463538202e-07
246.0,1.0,3.187507612608e-07,2.7145304709675577e-08,3.4369474344200686e-07
247.0,1.0,3.187507612608e-07,2.718098840080463e-08,3.4545487695964404e-07
248.0,1.0,3.187507612608e-07,2.7216226045794574e-08,3.457374314085907e-07
249.0,1.0,3.187507612608e-07,2.7251023220222142e-08,3.4918760865926774e-07
250.0,1.0,3.187507612608e-07,2.7285385429969365e-08,3.4532675208485e-07
251.0,1.0,3.187507612608e-07,2.7319318112094746e-08,3.4119158009574947e-07
252.0,1.0,3.187507612608e-07,2.7352826635693563e-08,3.471124771918185e-07
253.0,1.0,3.187507612608e-07,2.7385916302747394e-08,3.4473863385733956e-07
