frequency_Hz,frequency_offset_Hz,lorentzian_resonance_gain,candidate_residual_force_N,mechanical_artifact_force_N,measured_force_N
2449857500.0,-142500.0,0.33914537061625305,8.276624075059896e-08,4.062417918839517e-09,8.855631469683486e-08
2449865000.0,-135000.0,0.36378567402621803,8.877954790702939e-08,4.124017188476259e-09,9.224651464925986e-08
2449872500.0,-127500.0,0.3906326263658313,9.533137350536413e-08,4.186692144377192e-09,9.939541695808362e-08
2449880000.0,-120000.0,0.4198462603781239,1.024607725045832e-07,4.2504551441196495e-09,1.0460543062729496e-07
2449887500.0,-112500.0,0.4515704344555201,1.1020285261769989e-07,4.315317995078685e-09,1.1384925826806683e-07
2449895000.0,-105000.0,0.485918286394288,1.1858522439433459e-07,4.3812918870095355e-09,1.2556660547074203e-07
2449902500.0,-97500.0,0.5229524050147673,1.276231622324928e-07,4.448387320154995e-09,1.332368600366232e-07
2449910000.0,-90000.0,0.5626587677280865,1.373132440097839e-07,4.516614028696812e-09,1.452944812493006e-07
2449917500.0,-82500.0,0.6049138860615345,1.4762533316074694e-07,4.585980899374789e-09,1.545661378380771e-07
2449925000.0,-75000.0,0.6494454963483905,1.5849298549318643e-07,4.6564958851041106e-09,1.640276547361497e-07
2449932500.0,-67500.0,0.6957887537817756,1.6980275862949328e-07,4.728165913430464e-09,1.7801879359525933e-07
2449940000.0,-60000.0,0.7432424066071495,1.813835166009306e-07,4.800996789674284e-09,1.8706249970808148e-07
2449947500.0,-52500.0,0.7908327953518398,1.9299764409174788e-07,4.874993094630061e-09,1.9952861353997205e-07
2449955000.0,-45000.0,0.8372972143564564,2.0433698592821434e-07,4.950158076704673e-09,2.086940020978496e-07
2449962500.0,-37500.0,0.8811009174311928,2.1502699719937993e-07,5.0264935384002105e-09,2.2018658236949857e-07
2449970000.0,-30000.0,0.920501771227898,2.2464252149561803e-07,5.103999717072385e-09,2.2835167356608986e-07
2449977500.0,-22500.0,0.9536708981427051,2.3273723303105697e-07,5.182675159925491e-09,2.3989907606017217e-07
2449985000.0,-15000.0,0.9788653153079695,2.388857680763157e-07,5.262516593239669e-09,2.417916774233256e-07
2449992500.0,-7500.0,0.9946312283550681,2.427333374903935e-07,5.3435187858659825e-09,2.496415569610948e-07
2450000000.0,0.0,1.0,2.440435515903e-07,5.425674407070343e-09,2.4908792388236004e-07
2450007500.0,7500.0,0.9946312283550681,2.427333374903935e-07,5.508973878858577e-09,2.5058480555618674e-07
2450015000.0,15000.0,0.9788653153079695,2.388857680763157e-07,5.593405222972693e-09,2.459809112767509e-07
2450022500.0,22500.0,0.9536708981427051,2.3273723303105697e-07,5.678953902812705e-09,2.4205747924916326e-07
2450030000.0,30000.0,0.920501771227898,2.2464252149561803e-07,5.765602660609731e-09,2.3186967353850506e-07
2450037500.0,37500.0,0.8811009174311928,2.1502699719937993e-07,5.853331350254686e-09,2.1773624803832815e-07
2450045000.0,45000.0,0.8372972143564564,2.0433698592821434e-07,5.9421167662729814e-09,2.101451963486909e-07
2450052500.0,52500.0,0.7908327953518398,1.9299764409174788e-07,6.031932469529264e-09,1.966855621760875e-07
2450060000.0,60000.0,0.7432424066071495,1.813835166009306e-07,6.1227486103475345e-09,1.8646970552654558e-07
2450067500.0,67500.0,0.6957887537817756,1.6980275862949328e-07,6.214531749840891e-09,1.7903974724588763e-07
2450075000.0,75000.0,0.6494454963483905,1.5849298549318643e-07,6.3072446803611805e-09,1.66075297795343e-07
2450082500.0,82500.0,0.6049138860615345,1.4762533316074694e-07,6.4008462461020945e-09,1.5262831854969153e-07
2450090000.0,90000.0,0.5626587677280865,1.373132440097839e-07,6.495291165018628e-09,1.4178110044192174e-07
2450097500.0,97500.0,0.5229524050147673,1.276231622324928e-07,6.59052985336094e-09,1.3427925627160626e-07
2450105000.0,105000.0,0.485918286394288,1.1858522439433459e-07,6.6865082542603765e-09,1.228386123498327e-07
