geometry,geometry_sign,voltage_V,energy_density_J_per_m3,candidate_residual_force_N,non_inverting_artifact_force_N,measured_force_N
symmetric_control,0,949.367088607595,0.00997532575849223,0.0,3.78172959883035e-07,3.762456829942974e-07
symmetric_control,0,1012.6582278481013,0.011349703974106713,0.0,4.302767899113643e-07,4.2844647767967245e-07
symmetric_control,0,1075.9493670886077,0.01281275175201891,0.0,4.857421573608763e-07,4.853399480518386e-07
symmetric_control,0,1139.240506329114,0.01436446909222881,0.0,5.445690622315705e-07,5.46794994014891e-07
symmetric_control,0,1202.5316455696204,0.016004855994736427,0.0,6.067575045234476e-07,6.062673832210661e-07
symmetric_control,0,1265.8227848101267,0.017733912459541742,0.0,6.72307484236507e-07,6.702458567959647e-07
symmetric_control,0,1329.113924050633,0.01955163848664477,0.0,7.412190013707489e-07,7.411050922883218e-07
symmetric_control,0,1392.4050632911394,0.02145803407604551,0.0,8.134920559261735e-07,8.155904031690561e-07
symmetric_control,0,1455.6962025316457,0.02345309922774395,0.0,8.891266479027804e-07,8.871747302705506e-07
symmetric_control,0,1518.987341772152,0.02553683394174011,0.0,9.681227773005699e-07,9.66301627532727e-07
symmetric_control,0,1582.2784810126584,0.027709238218033977,0.0,1.0504804441195421e-06,1.0515975420380906e-06
symmetric_control,0,1645.5696202531647,0.029970312056625547,0.0,1.1361996483596968e-06,1.135756576128235e-06
symmetric_control,0,1708.860759493671,0.03232005545751482,0.0,1.2252803900210335e-06,1.2265753594024524e-06
symmetric_control,0,1772.1518987341774,0.034758468420701814,0.0,1.3177226691035537e-06,1.317695375519963e-06
symmetric_control,0,1835.4430379746836,0.03728555094618652,0.0,1.4135264856072556e-06,1.4149298129034347e-06
symmetric_control,0,1898.73417721519,0.03990130303396892,0.0,1.51269183953214e-06,1.5106216833040588e-06
symmetric_control,0,1962.0253164556964,0.04260572468404904,0.0,1.6152187308782078e-06,1.6151945615766313e-06
symmetric_control,0,2025.3164556962026,0.04539881589642685,0.0,1.7211071596454573e-06,1.720685779616731e-06
symmetric_control,0,2088.607594936709,0.04828057667110241,0.0,1.8303571258338898e-06,1.8279253439856817e-06
symmetric_control,0,2151.8987341772154,0.05125100700807564,0.0,1.942968629443505e-06,1.9398416735477676e-06
symmetric_control,0,2215.1898734177216,0.054310106907346584,0.0,2.0589416704743017e-06,2.060313168544851e-06
symmetric_control,0,2278.481012658228,0.05745787636891524,0.0,2.178276248926282e-06,2.177574344161846e-06
symmetric_control,0,2341.772151898734,0.06069431539278161,0.0,2.3009723647994443e-06,2.2989278042361496e-06
symmetric_control,0,2405.063291139241,0.06401942397894571,0.0,2.4270300180937903e-06,2.4268376602199436e-06
symmetric_control,0,2468.354430379747,0.06743320212740748,0.0,2.556449208809318e-06,2.5587052465240164e-06
symmetric_control,0,2531.6455696202534,0.07093564983816697,0.0,2.689229936946028e-06,2.684668461255284e-06
symmetric_control,0,2594.9367088607596,0.07452676711122418,0.0,2.8253722025039205e-06,2.822378925124114e-06
symmetric_control,0,2658.227848101266,0.07820655394657908,0.0,2.9648760054829954e-06,2.963030232599205e-06
symmetric_control,0,2721.518987341772,0.08197501034423171,0.0,3.1077413458832528e-06,3.1106637036166936e-06
symmetric_control,0,2784.810126582279,0.08583213630418204,0.0,3.253968223704694e-06,3.2545333976705323e-06
symmetric_control,0,2848.101265822785,0.08977793182643008,0.0,3.4035566389473165e-06,3.405091273428239e-06
symmetric_control,0,2911.3924050632913,0.0938123969109758,0.0,3.5565065916111216e-06,3.554226269772869e-06
symmetric_control,0,2974.6835443037976,0.09793553155781928,0.0,3.712818081696109e-06,3.710579009945568e-06
symmetric_control,0,3037.974683544304,0.10214733576696045,0.0,3.8724911092022795e-06,3.873386736635725e-06
symmetric_control,0,3101.26582278481,0.10644780953839927,0.0,4.035525674129631e-06,4.035642222791502e-06
symmetric_control,0,3164.556962025317,0.11083695287213591,0.0,4.2019217764781685e-06,4.203019254115897e-06
symmetric_control,0,3227.848101265823,0.11531476576817017,0.0,4.371679416247887e-06,4.3713040742660295e-06
symmetric_control,0,3291.1392405063293,0.11988124822650219,0.0,4.544798593438787e-06,4.5453548808916965e-06
symmetric_control,0,3354.4303797468356,0.12453640024713189,0.0,4.721279308050869e-06,4.72159554622068e-06
symmetric_control,0,3417.721518987342,0.12928022183005927,0.0,4.901121560084134e-06,4.902677094862304e-06
symmetric_control,0,3481.012658227848,0.1341127129752844,0.0,5.084325349538582e-06,5.08593936610247e-06
symmetric_control,0,3544.303797468355,0.13903387368280726,0.0,5.270890676414215e-06,5.2676509324254315e-06
symmetric_control,0,3607.594936708861,0.1440437039526278,0.0,5.4608175407110265e-06,5.456323003600345e-06
symmetric_control,0,3670.8860759493673,0.14914220378474607,0.0,5.6541059424290226e-06,5.656109433224325e-06
symmetric_control,0,3734.1772151898736,0.154329373179162,0.0,5.850755881568201e-06,5.853131331754725e-06
symmetric_control,0,3797.46835443038,0.15960521213587567,0.0,6.05076735812856e-06,6.048726112089534e-06
symmetric_control,0,3860.759493670886,0.16496972065488705,0.0,6.2541403721101044e-06,6.250420701297013e-06
symmetric_control,0,3924.0506329113928,0.17042289873619615,0.0,6.460874923512831e-06,6.461072993154846e-06
symmetric_control,0,3987.341772151899,0.17596474637980294,0.0,6.67097101233674e-06,6.672832688789441e-06
symmetric_control,0,4050.6329113924053,0.1815952635857074,0.0,6.884428638581829e-06,6.888023827626698e-06
symmetric_control,0,4113.9240506329115,0.18731445035390965,0.0,7.101247802248104e-06,7.102280397392306e-06
symmetric_control,0,4177.215189873418,0.19312230668440963,0.0,7.321428503335559e-06,7.320685069942388e-06
symmetric_control,0,4240.506329113924,0.19901883257720718,0.0,7.5449707418441965e-06,7.543184480601027e-06
symmetric_control,0,4303.797468354431,0.20500402803230255,0.0,7.77187451777402e-06,7.771897420357362e-06
symmetric_control,0,4367.088607594937,0.21107789304969557,0.0,8.00213983112502e-06,8.00154130171725e-06
