voltage_V,electric_field_V_per_m,energy_density_J_per_m3,F_electrostatic_N,F_EHD_air_N,F_residual_chi_0_N,F_total_air_chi_0_N,F_residual_chi_1e-06_N,F_total_air_chi_1e-06_N,F_residual_chi_1e-05_N,F_total_air_chi_1e-05_N,F_residual_chi_0.0001_N,F_total_air_chi_0.0001_N
3010.933110367893,150546.65551839463,0.10033696449436912,5.016848224718456e-06,1.8131436390219347e-05,0.0,2.31482846149378e-05,2.508424112359228e-10,2.3148535457349036e-05,2.508424112359228e-09,2.315079303905016e-05,2.508424112359228e-08,2.3173368856061393e-05
3111.264214046823,155563.21070234114,0.10713528532132617,5.356764266066308e-06,1.9359930019216785e-05,0.0,2.4716694285283092e-05,2.6783821330331545e-10,2.4716962123496394e-05,2.678382133033155e-09,2.4719372667416127e-05,2.6783821330331546e-08,2.4743478106613422e-05
3211.5953177257525,160579.7658862876,0.11415642909749195,5.707821454874597e-06,2.0628688969675954e-05,0.0,2.633651042455055e-05,2.8539107274372986e-10,2.6336795815623293e-05,2.853910727437299e-09,2.6339364335277987e-05,2.853910727437299e-08,2.6365049531824923e-05
3311.926421404682,165596.3210702341,0.12140039582286648,6.070019791143324e-06,2.1937713241596847e-05,0.0,2.800773303274017e-05,3.035009895571662e-10,2.800803653372973e-05,3.0350098955716628e-09,2.8010768042635744e-05,3.035009895571663e-08,2.803808313169589e-05
3412.257525083612,170612.8762541806,0.12886718549744983,6.44335927487249e-06,2.3287002834979473e-05,0.0,2.9730362109851962e-05,3.2216796374362454e-10,2.9730684277815707e-05,3.221679637436246e-09,2.9733583789489398e-05,3.2216796374362455e-08,2.9762578906226325e-05
3512.5886287625417,175629.43143812707,0.13655679812124188,6.827839906062094e-06,2.4676557749823827e-05,0.0,3.1504397655885924e-05,3.413919953031047e-10,3.1504739047881224e-05,3.4139199530310476e-09,3.150781157583896e-05,3.413919953031047e-08,3.153853685541624e-05
3612.9197324414718,180645.98662207357,0.14446923369424278,7.223461684712138e-06,2.6106377986129915e-05,0.0,3.332983967084205e-05,3.6117308423560694e-10,3.333020084392629e-05,3.6117308423560696e-09,3.333345140168441e-05,3.6117308423560695e-08,3.336595697926561e-05
3713.2508361204013,185662.54180602008,0.15260449221645242,7.630224610822622e-06,2.757646354389772e-05,0.0,3.520668815472034e-05,3.8151123054113107e-10,3.520706966595088e-05,3.815112305411311e-09,3.5210503267025754e-05,3.815112305411311e-08,3.524483927777446e-05
3813.581939799331,190679.09698996655,0.16096257368787079,8.04812868439354e-06,2.9086814423127254e-05,0.0,3.713494310752079e-05,4.0240643421967695e-10,3.713534551395501e-05,4.02406434219677e-09,3.7138967171862986e-05,4.02406434219677e-08,3.717518375094276e-05
3913.913043478261,195695.65217391305,0.16954347810849799,8.477173905424898e-06,3.063743062381853e-05,0.0,3.911460452924343e-05,4.2385869527124493e-10,3.91150283879387e-05,4.23858695271245e-09,3.911884311619614e-05,4.23858695271245e-08,3.915699039877055e-05
4014.2441471571906,200712.20735785953,0.17834720547833385,8.917360273916694e-06,3.222831214597152e-05,0.0,4.1145672419888216e-05,4.458680136958346e-10,4.114611828790191e-05,4.458680136958347e-09,4.1150131100025175e-05,4.4586801369583464e-08,4.11902592212578e-05
4114.57525083612,205728.762541806,0.18737375579737853,9.368687789868926e-06,3.385945898958624e-05,0.0,4.322814677945517e-05,4.684343894934463e-10,4.322861521384466e-05,4.684343894934464e-09,4.32328311233501e-05,4.684343894934463e-08,4.327499021840451e-05
4214.90635451505,210745.3177257525,0.196623129065632,9.831156453281602e-06,3.5530871154662696e-05,0.0,4.5362027607944295e-05,4.915578226640799e-10,4.536251916576696e-05,4.9155782266408e-09,4.5366943186170935e-05,4.9155782266408e-08,4.54111833902107e-05
4315.23745819398,215761.872909699,0.20609532528309424,1.0304766264154711e-05,3.7242548641200884e-05,0.0,4.7547314905355594e-05,5.152383132077356e-10,4.75478301436688e-05,5.152383132077356e-09,4.755246728848767e-05,5.152383132077356e-08,4.7598838736676365e-05
