voltage_V,E_V_per_m,F_Migliorero_Musha_N,kgf_Migliorero_Musha,F_electrostatic_pressure_internal_N,kgf_electrostatic_pressure_internal,F_EHD_air_schematic_N,F_EVRT_residual_chi_1e-4_N
36096.98996655518,36096989.96655518,551.1541543275097,56.20208270179008,978598046.3670788,99789229.38690367,1.3029926846455853e-09,97859.8046367079
36428.09364548495,36428093.64548495,556.2096774701414,56.717602593152755,996632982.6115904,101628281.07575884,1.327006006644221e-09,99663.29826115906
36759.197324414716,36759197.324414715,561.2652006127731,57.23312248451542,1014832591.0892779,103484124.65921369,1.351238587935258e-09,101483.25910892778
37090.30100334448,37090301.003344476,566.3207237554046,57.74864237587807,1033196871.8001404,105356760.13726813,1.3756904285186966e-09,103319.68718001405
37421.404682274246,37421404.682274245,571.3762468980365,58.26416226724075,1051725824.744179,107246187.50992225,1.4003615283945368e-09,105172.58247441791
37752.50836120401,37752508.36120401,576.4317700406682,58.77968215860342,1070419449.9213933,109152406.77717604,1.4252518875627789e-09,107041.94499213934
38083.612040133776,38083612.040133774,581.4872931832997,59.295202049966065,1089277747.3317828,111075417.93902943,1.4503615060234223e-09,108927.77473317829
38414.71571906354,38414715.71906354,586.5428163259314,59.81072194132874,1108300716.9753482,113015220.99548249,1.4756903837764676e-09,110830.07169753483
38745.819397993306,38745819.397993304,591.5983394685629,60.32624183269139,1127488358.852089,114971815.94653516,1.5012385208219145e-09,112748.8358852089
39076.92307692307,39076923.07692307,596.6538626111947,60.84176172405405,1146840672.9620056,116945202.79218751,1.527005917159763e-09,114684.06729620056
39408.02675585284,39408026.75585284,601.7093857538264,61.357281615416724,1166357659.305098,118935381.53243953,1.5529925727900137e-09,116635.7659305098
39739.13043478261,39739130.43478261,606.764908896458,61.87280150677938,1186039317.881366,120942352.16729118,1.5791984877126655e-09,118603.9317881366
40070.23411371237,40070234.11371237,611.8204320390896,62.38832139814204,1205885648.690809,122966114.69674243,1.605623661927719e-09,120588.5648690809
40401.33779264214,40401337.79264214,616.8759551817213,62.90384128950471,1225896651.7334282,125006669.12079337,1.632268095435174e-09,122589.66517334283
40732.4414715719,40732441.4715719,621.931478324353,63.41936118086737,1246072327.0092225,127064015.4394439,1.6591317882350308e-09,124607.23270092228
41063.54515050167,41063545.15050167,626.9870014669847,63.93488107223004,1266412674.518193,129138153.65269415,1.6862147403272892e-09,126641.26745181931
41394.64882943143,41394648.82943143,632.0425246096162,64.45040096359268,1286917694.2603385,131229083.76054399,1.7135169517119493e-09,128691.76942603386
41725.7525083612,41725752.5083612,637.0980477522479,64.96592085495536,1307587386.2356603,133336805.76299351,1.741038422389011e-09,130758.73862356604
42056.85618729097,42056856.18729097,642.1535708948796,65.48144074631803,1328421750.4441576,135461319.6600427,1.7687791523584748e-09,132842.17504441578
42387.959866220735,42387959.866220735,647.2090940375112,65.99696063768069,1349420786.8858304,137602625.4516915,1.79673914162034e-09,134942.07868858307
42719.0635451505,42719063.545150496,652.2646171801429,66.51248052904334,1370584495.5606785,139760723.13793993,1.8249183901746065e-09,137058.44955606788
43050.167224080265,43050167.224080265,657.3201403227746,67.02800042040602,1391912876.4687028,141935612.71878806,1.853316898021275e-09,139191.28764687027
43381.27090301003,43381270.90301003,662.3756634654062,67.54352031176867,1413405929.6099026,144127294.19423583,1.8819346651603448e-09,141340.59296099027
43712.374581939795,43712374.581939794,667.4311866080378,68.05904020313133,1435063654.9842775,146335767.56428316,1.9107716915918167e-09,143506.36549842777
44043.47826086956,44043478.26086956,672.4867097506695,68.574560094494,1456886052.5918286,148561032.82893023,1.9398279773156897e-09,145688.60525918286
44374.581939799325,44374581.93979932,677.5422328933012,69.09007998585666,1478873122.4325547,150803089.98817688,1.9691035223319645e-09,147887.31224325547
44705.68561872909,44705685.61872909,682.5977560359329,69.60559987721933,1501024864.506457,153061939.04202324,1.998598326640641e-09,150102.4864506457
45036.78929765886,45036789.29765886,687.6532791785645,70.12111976858199,1523341278.8135347,155337579.99046922,2.02831239024172e-09,152334.1278813535
45367.89297658863,45367892.97658863,692.7088023211962,70.63663965994466,1545822365.3537881,157630012.83351484,2.0582457131352e-09,154582.23653537882
45698.99665551839,45698996.65551839,697.7643254638278,71.15215955130732,1568468124.127217,159939237.5711601,2.0883982953210812e-09,156846.81241272172
46030.10033444816,46030100.33444816,702.8198486064595,71.66767944266998,1591278555.1338217,162265254.20340502,2.1187701367993643e-09,159127.85551338218
46361.20401337792,46361204.01337792,707.8753717490911,72.18319933403264,1614253658.3736014,164608062.73024952,2.1493612375700493e-09,161425.36583736018
46692.30769230769,46692307.69230769,712.9308948917227,72.6987192253953,1637393433.8465576,166967663.15169376,2.180171597633136e-09,163739.34338465575
47023.41137123745,47023411.37123745,717.9864180343543,73.21423911675795,1660697881.5526886,169344055.4677376,2.2112012169886238e-09,166069.78815526888
47354.51505016722,47354515.05016722,723.0419411769861,73.72975900812064,1684167001.4919958,171737239.6783811,2.2424500956365138e-09,168416.70014919958
47685.61872909699,47685618.72909699,728.0974643196178,74.2452788994833,1707800793.664479,174147215.7836243,2.2739182335768056e-09,170780.0793664479
48016.722408026755,48016722.408026755,733.1529874622495,74.76079879084595,1731599258.070137,176573983.78346705,2.305605630809499e-09,173159.9258070137
48347.82608695652,48347826.086956516,738.2085106048811,75.27631868220861,1755562394.7089705,179017543.67790943,2.3375122873345935e-09,175556.2394708971
48678.929765886285,48678929.765886284,743.2640337475127,75.79183857357128,1779690203.5809803,181477895.46695155,2.36963820315209e-09,177969.02035809803
49010.03344481605,49010033.444816045,748.3195568901443,76.30735846493394,1803982684.6861653,183955039.15059325,2.401983378261988e-09,180398.26846861656
49341.137123745815,49341137.123745814,753.3750800327759,76.8228783562966,1828439838.0245264,186448974.72883466,2.4345478126642875e-09,182843.98380245265
49672.24080267558,49672240.80267558,758.4306031754077,77.33839824765926,1853061663.5960627,188959702.20167568,2.467331506358989e-09,185306.1663596063
50003.344481605345,50003344.48160534,763.4861263180393,77.85391813902193,1877848161.4007745,191487221.56911632,2.500334459346092e-09,187784.81614007746
50334.44816053511,50334448.16053511,768.5416494606709,78.36943803038459,1902799331.438662,194031532.83115664,2.5335566716255968e-09,190279.93314386625
50665.55183946488,50665551.83946488,773.5971726033027,78.88495792174726,1927915173.7097254,196592635.9877966,2.5669981431975038e-09,192791.51737097255
50996.65551839465,50996655.51839465,778.6526957459345,79.40047781310993,1953195688.2139647,199170531.03903624,2.600658874061812e-09,195319.5688213965
51327.75919732441,51327759.19732441,783.708218888566,79.91599770447257,1978640874.9513788,201765217.98487547,2.634538864218521e-09,197864.08749513788
51658.86287625418,51658862.87625418,788.7637420311977,80.43151759583525,2004250733.921969,204376696.82531437,2.6686381136676325e-09,200425.0733921969
51989.96655518394,51989966.55518394,793.8192651738292,80.94703748719789,2030025265.1257343,207004967.56035286,2.702956622409145e-09,203002.52651257344
52321.07023411371,52321070.23411371,798.8747883164609,81.46255737856056,2055964468.562676,209650030.1899911,2.7374943904430596e-09,205596.4468562676
52652.17391304347,52652173.91304347,803.9303114590925,81.97807726992322,2082068344.2327921,212311884.71422884,2.772251417769376e-09,208206.83442327922
52983.27759197324,52983277.59197324,808.9858346017242,82.49359716128588,2108336892.1360853,214990531.1330664,2.8072277043880936e-09,210833.68921360854
53314.38127090301,53314381.270903006,814.0413577443559,83.00911705264855,2134770112.2725534,217685969.4465035,2.8424232502992136e-09,213477.01122725537
53645.484949832775,53645484.949832775,819.0968808869876,83.52463694401122,2161368004.6421976,220398199.6545403,2.877838055502735e-09,216136.80046421976
53976.58862876254,53976588.628762536,824.1524040296192,84.04015683537388,2188130569.245017,223127221.75717673,2.913472119998658e-09,218813.05692450173
54307.692307692305,54307692.307692304,829.207927172251,84.55567672673655,2215057806.0810122,225873035.7544128,2.9493254437869823e-09,221505.78060810122
54638.79598662207,54638795.986622065,834.2634503148824,85.0711966180992,2242149715.1501822,228635641.64624846,2.9853980268677083e-09,224214.97151501823
54969.899665551835,54969899.665551834,839.3189734575142,85.58671650946187,2269406296.4525285,231415039.4326838,3.0216898692408357e-09,226940.62964525292
55301.0033444816,55301003.3444816,844.3744966001459,86.10223640082454,2296827549.988051,234211229.11371887,3.058200970906365e-09,229682.75499880515
55632.107023411365,55632107.02341136,849.4300197427774,86.61775629218718,2324413475.7567477,237024210.68935344,3.094931331864296e-09,232441.34757567482
55963.21070234113,55963210.70234113,854.4855428854091,87.13327618354985,2352164073.758621,239853984.15958777,3.131880952114629e-09,235216.40737586212
56294.3143812709,56294314.3812709,859.5410660280409,87.64879607491253,2380079343.99367,242700549.5244217,3.169049831657364e-09,238007.93439936705
56625.41806020067,56625418.06020067,864.5965891706725,88.16431596627518,2408159286.461895,245563906.78385535,3.2064379704925002e-09,240815.92864618957
56956.52173913043,56956521.73913043,869.6521123133042,88.67983585763785,2436403901.163295,248444055.93788856,3.2440453686200378e-09,243640.39011632948
57287.6254180602,57287625.4180602,874.7076354559359,89.19535574900053,2464813188.0978703,251340996.98652145,3.2818720260399767e-09,246481.3188097871
57618.72909698996,57618729.09698996,879.7631585985674,89.71087564036317,2493387147.265621,254254729.92975393,3.3199179427523183e-09,249338.71472656212
57949.83277591973,57949832.77591973,884.8186817411992,90.22639553172584,2522125778.6665483,257185254.7675861,3.35818311875706e-09,252212.57786665484
58280.93645484949,58280936.45484949,889.8742048838307,90.74191542308849,2551029082.30065,260132571.50001788,3.3966675540542046e-09,255102.90823006508
58612.04013377926,58612040.13377926,894.9297280264624,91.25743531445116,2580097058.1679287,263096680.1270494,3.4353712486437504e-09,258009.70581679288
58943.14381270903,58943143.812709026,899.9852511690941,91.77295520581383,2609329706.2683825,266077580.6486805,3.474294202525699e-09,260932.97062683827
59274.247491638795,59274247.491638795,905.0407743117257,92.28847509717649,2638727026.602012,269075273.0649113,3.5134364157000484e-09,263872.70266020123
59605.35117056856,59605351.170568556,910.0962974543573,92.80399498853915,2668289019.168817,272089757.37574166,3.552797888166799e-09,266828.90191688173
59936.454849498325,59936454.849498324,915.151820596989,93.3195148799018,2698015683.968797,275121033.5811717,3.5923786199259512e-09,269801.5683968797
60267.55852842809,60267558.528428085,920.2073437396207,93.83503477126447,2727907021.001953,278169101.68120134,3.6321786109775054e-09,272790.7021001954
60598.662207357855,60598662.20735785,925.2628668822524,94.35055466262715,2757963030.2682853,281233961.6758307,3.6721978613214613e-09,275796.30302682857
60929.76588628762,60929765.886287615,930.3183900248839,94.86607455398979,2788183711.767792,284315613.56505966,3.7124363709578187e-09,278818.3711767792
61260.869565217385,61260869.56521738,935.3739131675156,95.38159444535246,2818569065.500476,287414057.34888834,3.752894139886578e-09,281856.9065500476
61591.97324414715,61591973.24414715,940.4294363101474,95.89711433671513,2849119091.4663343,290529293.02731663,3.7935711681077385e-09,284911.9091466335
61923.07692307692,61923076.92307692,945.484959452779,96.41263422807779,2879833789.665369,293661320.6003446,3.834467455621302e-09,287983.3789665369
62254.18060200669,62254180.60200669,950.5404825954107,96.92815411944046,2910713160.097579,296810140.0679722,3.875583002427266e-09,291071.3160097579
62585.28428093645,62585284.28093645,955.5960057380422,97.44367401080311,2941757202.7629642,299975751.4301993,3.916917808525631e-09,294175.72027629643
62916.38795986622,62916387.95986622,960.6515288806739,97.95919390216578,2972965917.6615257,303158154.68702626,3.9584718739163984e-09,297296.5917661526
63247.49163879598,63247491.63879598,965.7070520233056,98.47471379352844,3004339304.793262,306357349.8384527,4.000245198599568e-09,300433.9304793263
63578.59531772575,63578595.31772575,970.7625751659373,98.99023368489111,3035877364.1581745,309573336.88447887,4.042237782575138e-09,303587.73641581746
63909.69899665551,63909698.99665551,975.8180983085689,99.50575357625377,3067580095.756262,312806115.8251046,4.084449625843111e-09,306758.0095756262
64240.80267558528,64240802.67558528,980.8736214512006,100.02127346761642,3099447499.587526,316055686.66033006,4.126880728403485e-09,309944.7499587526
64571.90635451504,64571906.35451504,985.9291445938321,100.53679335897908,3131479575.6519647,319322049.39015514,4.1695310902562604e-09,313147.9575651965
64903.010033444814,64903010.033444814,990.984667736464,101.05231325034175,3163676323.94958,322605204.01457995,4.2124007114014385e-09,316367.63239495805
65234.11371237458,65234113.712374575,996.0401908790955,101.56783314170441,3196037744.4803705,325905150.5336043,4.2554895918390175e-09,319603.7744480371
65565.21739130435,65565217.39130435,1001.0957140217273,102.08335303306708,3228563837.2443376,329221888.94722843,4.298797731568998e-09,322856.3837244338
65896.32107023412,65896321.07023411,1006.1512371643589,102.59887292442974,3261254602.241479,332555419.2554521,4.342325130591381e-09,326125.4602241479
66227.42474916388,66227424.74916388,1011.2067603069905,103.1143928157924,3294110039.4717965,335905741.45827544,4.386071788906165e-09,329411.00394717965
66558.52842809365,66558528.42809364,1016.2622834496221,103.62991270715506,3327130148.935289,339272855.55569834,4.430037706513351e-09,332713.0148935289
66889.63210702341,66889632.10702341,1021.317806592254,104.14543259851774,3360314930.631958,342656761.547721,4.4742228834129376e-09,336031.49306319584
67220.73578595318,67220735.78595318,1026.3733297348856,104.6609524898804,3393664384.561802,346057459.4343432,4.518627319604927e-09,339366.4384561803
67551.83946488294,67551839.46488294,1031.428852877517,105.17647238124304,3427178510.724821,349474949.2155651,4.563251015089317e-09,342717.8510724821
67882.9431438127,67882943.1438127,1036.4843760201488,105.69199227260572,3460857309.1210165,352909230.8913866,4.608093969866109e-09,346085.7309121017
68214.04682274247,68214046.82274248,1041.5398991627806,106.20751216396839,3494700779.7503886,356360304.46180797,4.653156183935303e-09,349470.0779750389
68545.15050167224,68545150.50167224,1046.5954223054123,106.72303205533106,3528708922.612935,359828169.92682874,4.698437657296898e-09,352870.89226129354
68876.254180602,68876254.180602,1051.6509454480438,107.2385519466937,3562881737.7086563,363312827.28644913,4.743938389950895e-09,356288.1737708656
69207.35785953177,69207357.85953176,1056.7064685906755,107.75407183805638,3597219225.0375543,366814276.54066926,4.7896583818972934e-09,359721.9225037554
69538.46153846153,69538461.53846154,1061.7619917333072,108.26959172941905,3631721384.599628,370332517.68948907,4.8355976331360945e-09,363172.13845996285
69869.5652173913,69869565.2173913,1066.8175148759387,108.78511162078169,3666388216.3948774,373867550.73290855,4.881756143667296e-09,366638.82163948775
